iter	Passed	Remaining
0	1	261
1	2	276
2	3	259
3	5	249
4	7	273
5	9	319
6	11	304
7	12	293
8	13	287
9	14	284
10	16	278
11	17	273
12	18	271
13	21	285
14	24	300
15	26	300
16	27	294
17	28	289
18	30	286
19	31	282
20	32	278
21	34	276
22	36	281
23	38	280
24	39	275
25	40	271
26	41	267
27	42	263
28	44	261
29	45	257
30	46	254
31	49	258
32	50	257
33	52	254
34	53	251
35	54	249
36	56	247
37	57	244
38	58	242
39	59	239
40	61	240
41	63	240
42	65	237
43	66	235
44	67	233
45	68	230
46	69	227
47	71	225
48	73	225
49	75	225
50	77	225
51	78	223
52	79	221
53	80	218
54	82	216
55	83	214
56	84	212
57	85	210
58	87	208
59	88	207
60	90	205
61	91	203
62	92	201
63	93	199
64	94	197
65	96	195
66	97	193
67	98	191
68	99	188
69	101	187
70	102	186
71	103	184
72	104	182
73	106	180
74	107	178
75	108	176
76	109	174
77	110	172
78	111	170
79	112	168
80	113	166
81	115	165
82	116	163
83	117	162
84	118	159
85	119	158
86	120	155
87	121	154
88	122	152
89	123	151
90	124	149
91	125	147
92	127	146
93	128	144
94	129	143
95	130	141
96	131	139
97	132	137
98	133	136
99	134	134
100	136	133
101	137	131
102	138	130
103	140	129
104	141	128
105	142	126
106	144	125
107	145	123
108	146	122
109	147	120
110	148	119
111	149	117
112	150	116
113	152	114
114	153	113
115	155	112
116	156	110
117	157	109
118	158	107
119	160	106
120	161	105
121	162	103
122	163	102
123	164	100
124	165	99
125	167	98
126	168	96
127	169	95
128	171	94
129	172	92
130	173	91
131	174	89
132	175	88
133	176	87
134	177	85
135	178	84
136	180	83
137	182	81
138	183	80
139	184	78
140	185	77
141	186	76
142	187	74
143	188	73
144	189	71
145	190	70
146	191	69
147	193	68
148	195	66
149	196	65
150	197	64
151	198	62
152	199	61
153	200	59
154	201	58
155	202	57
156	203	55
157	204	54
158	206	53
159	207	51
160	209	50
161	210	49
162	211	48
163	212	46
164	213	45
165	214	44
166	216	42
167	217	41
168	218	40
169	220	38
170	221	37
171	222	36
172	223	34
173	225	33
174	226	32
175	227	30
176	228	29
177	229	28
178	230	27
179	231	25
180	233	24
181	234	23
182	235	21
183	236	20
184	238	19
185	239	17
186	240	16
187	242	15
188	243	14
189	244	12
190	245	11
191	247	10
192	248	9
193	249	7
194	251	6
195	252	5
196	253	3
197	254	2
198	255	1
199	256	0
